fullArabicName,fullEnglishName,phoneNumber,email,isEmailConfirmed,investmentfields,investmentStage,idNumber,investmentLicenseNumber,profilePhoto,role,points,organization,jobTitle,availableBudget,currency,notification,description,recommendation_id,password
أمينة نبيل جابر,Denise Gallagher,97147090273,bennettgeorge@example.net,TRUE,"['التطوير العقاري السكني والتجاري', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Seed (مرحلة التأسيس والتمويل الأولي),XK65815167,INV3477923197,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,201,Hamilton PLC,Director,287039,(EGP) جنيه مصري,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",11,$2a$12$OV7b8vi1l93mtPzVHck5eOnihEEmc80tP.gTF267HPf3J3E6JIixm
خالد فتحي بركات,Richard Garcia,96692020622,rholmes@example.org,TRUE,"['الكفاءة الطاقية وحلول الاستدامة', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Series A (التوسع الأولي),TF2295386,INV5969695216,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,51,Vargas Inc,Founder,553289,(SAR) ريال سعودي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",12,$2a$12$zXeplbHpxeXivkTER6vOAOUH395kR..zhP.qss.WELkgizfmC35FC
علاء جمال النجار,Joseph Edwards,97463466400,greenejennifer@example.com,TRUE,"['الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)', 'الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)']",Late Stage / IPO (ما قبل الطرح العام),405615271,INV6378480759,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,83,Fisher PLC,Founder,386693,(EGP) جنيه مصري,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",13,$2a$12$P4qWy.lFD0qO5fu9RFJtguNf8p0rPWvB7bzyfXpm77AsspcZl0Ppi
هبة يحيى العزبي,Mary Lopez,21625064548,aprilgarcia@example.com,TRUE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Pre-Seed (النماذج الأولية),QP62950760,INV3151026440,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,90,Wilkins PLC,CEO,994832,(EGP) جنيه مصري,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",14,$2a$12$k/cotbA/DplkjHEYY5F4SutR0sdn6DVxuBV7kfEHF2A9HEKV2Bjyu
عمر جمال الشناوي,Thomas Ford,21214457202,mcoleman@example.net,FALSE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Series A (التوسع الأولي),5.51E+13,INV5138950340,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,294,Stafford-Rhodes,Director,624403,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",15,$2a$12$nlnfO..h5xTXUsgu00ofO.Kf/CEwAKOsLws9KyXSYvKVNNoh74gSK
دعاء سليم المصري,Brenda Armstrong,97160281838,wspence@example.net,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)']",Pre-Seed (النماذج الأولية),D8782060,INV4394075852,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,133,Simpson and Sons,CEO,899749,(SAR) ريال سعودي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",16,$2a$12$QjzDTSa5iPGgr/E0jwDW3uL1HvH08NTTj8qUTDcU./ZCd5y5uIiqy
ليلى جمعة المصري,Andrew Thompson,97499668840,shahjoshua@example.com,FALSE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'الذكاء الاصطناعي والتعلم الآلي']",Seed (مرحلة التأسيس والتمويل الأولي),OO791420,INV0917694622,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,216,"Kim, Roberts and Calderon",Founder,871050,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",17,$2a$12$73tGTj9CDoNAdSBaK268Hef4TCd7pjeIKlu/QoSGMa7xjJROG8hWm
شهد نبيل الديب,Pamela Reynolds,21611199844,michele45@example.com,TRUE,"['الكفاءة الطاقية وحلول الاستدامة', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Seed (مرحلة التأسيس والتمويل الأولي),N12391777,INV3001843165,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,131,Massey-Martin,Managing Partner,712405,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",18,$2a$12$bVy7cnYp90BW6MIemLhguejyc7p1vRHwBmyOre2ah0mNcrQwSswYe
دعاء سليم السيد,Robert Carlson,21618750742,cathyphillips@example.org,FALSE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Late Stage / IPO (ما قبل الطرح العام),ZD66363617,INV4304284686,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,290,Perez-Robertson,Director,613555,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",19,$2a$12$4nhkyAlFbDoGQZ42JmQPEerBIMYqkJ7Utwex6T3e.n5dJgtZHpZaS
خلود عبد الرحمن جابر,Paul Aguilar,21604744970,jensencindy@example.net,TRUE,"['التطوير العقاري السكني والتجاري', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Series B (التوسع والنمو السريع),EJ14946023,INV7070548522,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,111,Alexander-Nelson,Founder,358670,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",20,$2a$12$nJuUYUb9fp4mR/B0rZnYbOM5tWHUnLYDnvRVjB9H9aVh4xdA8WQqy
علاء يحيى حسان,Michael Anderson,96161816486,bryantlinda@example.net,TRUE,"['الذكاء الاصطناعي والتعلم الآلي', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Seed (مرحلة التأسيس والتمويل الأولي),738945,INV4591093520,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,54,Avery-Schwartz,Founder,922361,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",21,$2a$12$xgIpRixJ8AUbWRF9uPjL7.4FONtz8JbSzeS1mrB3mO6eSWPv/gNV6
طارق يحيى الطويل,Joshua Flores,21268655224,wendyshepherd@example.net,FALSE,"['الكفاءة الطاقية وحلول الاستدامة', 'الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)']",Late Stage / IPO (ما قبل الطرح العام),33248728,INV9749331773,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,286,Bailey Group,CEO,300644,(EUR) يورو,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",22,$2a$12$94lKJhXAQDJpfPECXJesxen8mGzeRTORg18U1FRAOEoivxYDHq8iC
